"Wing slice (x=10): z_over_c","Wing slice (x=10): True_Cp","Wing slice (x=10): z_over_c","Wing slice (x=10): Position[Y] (m)"
0.4726197939574206,-0.01954512461834589,0.4726197939574206,-28.630183966320978
0.4873754305723921,-0.01958754099129309,0.4873754305723921,-28.631083261341153
0.5021482442103391,-0.011414334301747646,0.5021482442103391,-28.631354060255497
0.5169328264327646,0.011739677898011334,0.5169328264327646,-28.63102517067515
0.5317280258471158,0.02988309156705368,0.5317280258471158,-28.63047599684254
0.5465368584665953,0.04227692077514187,0.5465368584665953,-28.629864969300268
0.5613502070171705,0.05291258364403264,0.5613502070171705,-28.629328425971202
0.5761583535400803,0.05555182373279158,0.5761583535400803,-28.628838092126713
0.8320990657045257,0.298080988141537,0.8320990657045257,-28.47591410991364
0.5909546647847819,0.06002916180882036,0.5909546647847819,-28.628171081779215
0.8267741240089919,0.29859711405046846,0.8267741240089919,-28.475818897294033
0.6057386253089732,0.06652691908500792,0.6057386253089732,-28.627201005295962
0.8230700013729972,0.2977803056335787,0.8230700013729972,-28.47575266572951
0.6205053479732499,0.07789995619738135,0.6205053479732499,-28.625820592386585
0.8177185651745589,0.29525293621058296,0.8177185651745589,-28.475656979374943
0.810312768423401,0.2908392410447887,0.810312768423401,-28.47552456002666
0.6499703362835589,0.10825086543090347,0.6499703362835589,-28.621792114292106
0.6352491454718248,0.0918657931415536,0.6352491454718248,-28.624075569030033
0.7990284264376868,0.2802390879718213,0.7990284264376868,-28.475307033771415
0.689471181799135,0.1727094773144228,0.689471181799135,-28.61432519965851
0.6791860452385379,0.15546820403743505,0.6791860452385379,-28.616345335632026
0.6646501988711933,0.13524552275998425,0.6646501988711933,-28.619092346036858
0.7839955588193561,0.2721410092846479,0.7839955588193561,-28.47493677060494
0.7067232117072564,0.200822787131579,0.7067232117072564,-28.61063850775757
0.6965249766388979,0.17801255750348055,0.6965249766388979,-28.612885498091146
0.7678283775573078,0.258881729479259,0.7678283775573078,-28.47443449350735
0.7348120640207512,0.10082740464675385,0.7348120640207512,-28.59242008662858
0.7299538687458522,0.2778173365359607,0.7299538687458522,-28.605028842324735
0.719018495317556,0.21336453792765722,0.719018495317556,-28.607715353200724
0.7470419137412279,0.25236647097205633,0.7470419137412279,-28.47374007719366
0.7348124586114295,0.24391788296803643,0.7348124586114295,-28.548879095115858
0.7348129978213294,0.2699540011300684,0.7348129978213294,-28.49503348616922
0.30937018873135713,-0.9001917307942305,0.30937018873135713,-27.946891605816575
0.32405258845633966,-0.9231766622228254,0.32405258845633966,-27.946203802680323
0.338755755698962,-0.9019728011200076,0.338755755698962,-27.946266109625824
0.45599138779173387,-0.7681242418796482,0.45599138779173387,-27.97778321265625
0.4411402017997048,-0.7871445778081964,0.4411402017997048,-27.971123036951944
0.39732933801316506,-0.9294402037272413,0.39732933801316506,-27.95331260177644
0.38268804729667494,-0.9858236342647493,0.38268804729667494,-27.949598141257816
0.36804811810431204,-0.9422392136350027,0.36804811810431204,-27.947363096540307
0.35344534908846015,-0.9152394983032291,0.35344534908846015,-27.946651760087605
0.47075246788197944,-0.7496423523075517,0.47075246788197944,-27.98495734963771
0.4263936898978642,-0.8275578629834215,0.4263936898978642,-27.964617099476396
